ts,platform,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,reason_end,shuffle,skipped,count
2023-06-22T16:54:38Z,phone,1070,Anywhere With You,Maggie Rogers,Surrender,spotify:track:4Hxcb6wDlelhZpk5fc5jmD,endplay,False,True,3
2023-05-27T01:48:11Z,desktop,8034,nostalgic night,VICTON,nostalgia,spotify:track:7MC2mQvMmir9PM3nAe2SuW,endplay,True,True,3
2024-02-22T04:53:53Z,desktop,63690,Aphrodite,RINI,After the Sun,spotify:track:3A7Etq2wGE9cYqLIma97Tt,endplay,False,True,3
2024-02-22T04:52:48Z,desktop,14035,Perfect Dancer,NIve,Broken Kaleidoscope,spotify:track:1nUQW3hhm0ZYXiGUL4vYn4,endplay,False,True,3
2024-02-26T04:03:45Z,desktop,1184,New Kidz on the Block,ZEROBASEONE,YOUTH IN THE SHADE,spotify:track:4i7iGaXbW1dKBZD5tZuvZt,fwdbtn,True,True,3
2023-05-27T01:51:27Z,desktop,13096,O,VERIVERY,SERIES 'O' [ROUND 0 : WHO],spotify:track:7nsquDHI132iE793dXYNeW,endplay,True,True,3
2024-02-22T05:49:07Z,desktop,6310,lovely (with Khalid),Billie Eilish,lovely (with Khalid),spotify:track:0u2P5u6lvoDfwTYjAADbn4,endplay,False,True,3
2023-05-27T01:46:44Z,desktop,1799,Ring Pop,Jax,Ring Pop,spotify:track:7AN15jOombgNojiAQ5IUG0,endplay,True,True,3
2023-05-27T01:47:19Z,desktop,11029,Nerves,DPR IAN,Moodswings in This Order,spotify:track:2qwplOI7upNGwg2mLVrraw,endplay,True,True,3
2023-08-03T00:57:57Z,desktop,70933,BOSS,NCT,NCT 2018 EMPATHY,spotify:track:0ErzcmZ2gIwX7X0xSMQPix,endplay,True,True,3
2023-05-27T01:48:51Z,desktop,35909,긴 밤 (feat. GIRIBOY),Seori,긴 밤 (feat. GIRIBOY),spotify:track:5YAO57ujV1cs5eubzyOL1E,endplay,True,True,3
2023-05-27T01:51:14Z,desktop,29605,Crazy Like That,VERIVERY,Liminality - EP.DREAM,spotify:track:3YKVnTgamsTa6zzimeaJXc,endplay,True,True,3
2024-02-22T05:49:19Z,desktop,5520,2002,Anne-Marie,Speak Your Mind,spotify:track:2BgEsaKNfHUdlh97KmvFyo,endplay,False,True,3
2022-12-12T20:37:12Z,desktop,52995,I'm Not Sorry,DEAN,I'm Not Sorry,spotify:track:7AoK7YuZ5sQYtPofTFElIE,fwdbtn,False,True,3
2022-12-12T23:12:08Z,desktop,975,Double Knot,Stray Kids,SKZ2020,spotify:track:1Sftw4WKhFJGv7qQXlse4Y,fwdbtn,True,True,3
2023-05-27T00:27:47Z,desktop,5619,Satellite,Harry Styles,Harry's House,spotify:track:0rzaRSujxA0bKyjJl6vHYq,endplay,True,True,3
2023-08-02T15:27:13Z,desktop,25228,Still Alive,BIGBANG,Special Edition 'Still Alive',spotify:track:7DUl32UdrwpCXgs7vVXJF2,endplay,True,True,3
2023-08-02T15:29:28Z,desktop,30185,Love Maze,BTS,Love Yourself 轉 'Tear',spotify:track:4ROdFnoZNn2RTmwct0cVpx,endplay,True,True,3
2023-08-01T23:13:33Z,desktop,0,Epiphany,BTS,Love Yourself 結 'Answer',spotify:track:6L88EH68XwlaXwvChlTS41,endplay,True,True,3
2022-12-19T04:53:23Z,desktop,269574,Wild Flower (with youjeen),RM,Indigo,spotify:track:1AZjCZSGEjlxUufFQwSszF,endplay,True,True,3
2022-12-20T20:40:43Z,desktop,21513,Better Days,SuperM,Super One -The 1st Album,spotify:track:09PXLSwlqGCfCwDT56dIJ9,fwdbtn,True,True,3
2023-05-11T00:06:23Z,desktop,172628,CROWN,TOMORROW X TOGETHER,The Dream Chapter: STAR,spotify:track:0EmYZZ8OqeALedVhijSjsg,endplay,True,True,3
2023-12-23T06:55:56Z,phone,6890,Love Sight,TOMORROW X TOGETHER,Doom at Your Service (Original Television Soundtrack) Pt. 2,spotify:track:35HpFGWVSqW4D0Wi8A7zLI,fwdbtn,True,True,3
2023-07-31T16:35:53Z,phone,43648,Can't You See Me?,TOMORROW X TOGETHER,The Dream Chapter: ETERNITY,spotify:track:2ecGP5xUE5126x6yHa7J6E,endplay,True,True,3
2023-12-20T03:39:10Z,desktop,2170,If the World Was Ending (feat. Julia Michaels),JP Saxe,If the World Was Ending (feat. Julia Michaels),spotify:track:2kJwzbxV2ppxnQoYw4GLBZ,endplay,True,True,3
2023-08-02T01:02:49Z,desktop,11424,"me, my girls & i",Boys World,"me, my girls & i",spotify:track:2K7CqNeCpbO0RoD4bAZ5tU,endplay,True,True,3
2023-08-02T15:13:09Z,desktop,1428,Black Swan,BTS,MAP OF THE SOUL : 7,spotify:track:2EmcTFQ1rM11wp2ztsXTHa,endplay,True,True,3
